"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0006",8,"ld0006_8","ld0006_8_c_co2_samp_2","c_co2_samp_2",-4.734870526,-4.297630448,-3.930154047,-4.252577703,-3.164382439,-3.59954376,-1.35091440838462,-1.35091440838462,-1.43805688735684,-1.07773513367248,-1.07773513367248,-1.43805688735684,26,23,30,22.5,24,23
"ld0006",9,"ld0006_9","ld0006_9_c_co2_samp_1","c_co2_samp_1",NA,NA,-4.035446542,NA,-3.772585178,-2.880133005,-1.6239223187215,-1.66876235250787,-1.76822444844037,-1.66876235250787,-1.6239223187215,-1.76822444844037,32,23,22,26,23,28
"ld0006",9,"ld0006_9","ld0006_9_c_co2_samp_2","c_co2_samp_2",NA,NA,-4.070643718,NA,-3.749353049,-2.948726023,-1.6239223187215,-1.66876235250787,-1.76822444844037,-1.66876235250787,-1.6239223187215,-1.76822444844037,32,23,22,26,23,28
"ld0011",1,"ld0011_1","ld0011_1_c_co2_samp_1","c_co2_samp_1",-4.930275548,NA,-3.292726784,-4.201580854,NA,-3.575189077,0.0487308671357635,0.18080121905218,0.00426197711607772,0.18080121905218,0.0487308671357635,0.00426197711607772,32,21,30,26,22.5,30.5
"ld0011",1,"ld0011_1","ld0011_1_c_co2_samp_2","c_co2_samp_2",NA,NA,-3.274447445,-3.937012848,-3.587250181,-3.135387632,0.0487308671357635,0.18080121905218,0.00426197711607772,0.18080121905218,0.0487308671357635,0.00426197711607772,32,21,30,26,22.5,30.5
"ld0011",10,"ld0011_10","ld0011_10_c_co2_samp_1","c_co2_samp_1",-4.255959163,-4.107281166,-3.944613591,-4.552579927,-3.668479751,-3.741128278,-0.739711006785096,-0.723550457985413,-0.812804052861075,-0.723550457985413,-0.812804052861075,-0.739711006785096,30,22.5,32,26,21.5,22
"ld0011",10,"ld0011_10","ld0011_10_c_co2_samp_2","c_co2_samp_2",-4.314061169,-4.291448617,-3.937099929,-4.50194553,-3.424936382,-3.684585707,-0.739711006785096,-0.723550457985413,-0.812804052861075,-0.723550457985413,-0.812804052861075,-0.739711006785096,30,22.5,32,26,21.5,22
"ld0011",2,"ld0011_2","ld0011_2_c_co2_samp_1","c_co2_samp_1",-4.074828683,NA,-3.657515475,-4.108302138,-3.186859828,NA,-0.19108390082001,0.0561204890613744,0.0561204890613744,-0.11543536751334,-0.11543536751334,-0.19108390082001,30,23.5,26,32,24.6,26.4
"ld0011",2,"ld0011_2","ld0011_2_c_co2_samp_2","c_co2_samp_2",-4.655924786,NA,-3.565853518,-4.005271687,-3.196890154,NA,-0.19108390082001,0.0561204890613744,0.0561204890613744,-0.11543536751334,-0.11543536751334,-0.19108390082001,30,23.5,26,32,24.6,26.4
"ld0011",3,"ld0011_3","ld0011_3_c_co2_samp_1","c_co2_samp_1",-4.428307831,NA,NA,-4.771715847,-3.739359469,-3.849453142,-0.659204244693798,-0.788371993872339,-0.788371993872339,-0.17590193246887,-0.659204244693798,-0.17590193246887,24.5,24,26,30,22,24.5
"ld0011",3,"ld0011_3","ld0011_3_c_co2_samp_2","c_co2_samp_2",-4.776287927,NA,NA,-4.561452249,-3.57941319,-3.898366536,-0.659204244693798,-0.788371993872339,-0.788371993872339,-0.17590193246887,-0.659204244693798,-0.17590193246887,24.5,24,26,30,22,24.5
"ld0011",4,"ld0011_4","ld0011_4_c_co2_samp_1","c_co2_samp_1",-4.651481556,-4.346955882,-3.913278013,NA,-3.378874444,-4.634780622,-0.484647077177142,-0.367590977046391,-0.484647077177142,-0.731627012184728,-0.367590977046391,-0.731627012184728,26.5,25.5,22,29,26,24
"ld0011",4,"ld0011_4","ld0011_4_c_co2_samp_2","c_co2_samp_2",-4.699303384,-4.14764825,-3.879843708,NA,-3.58240256,-3.82372969,-0.484647077177142,-0.367590977046391,-0.484647077177142,-0.731627012184728,-0.367590977046391,-0.731627012184728,26.5,25.5,22,29,26,24
"ld0011",5,"ld0011_5","ld0011_5_c_co2_samp_1","c_co2_samp_1",-4.096000827,NA,-5.547191976,-4.5962919,-3.584680853,-3.471167411,-0.187285945548392,-0.30579371096037,-0.0703573119555976,-0.30579371096037,-0.0703573119555976,-0.187285945548392,26,25,25,26,28,22
"ld0011",5,"ld0011_5","ld0011_5_c_co2_samp_2","c_co2_samp_2",-4.186006286,NA,-5.083858839,-4.077166816,-3.503143362,-3.53415583,-0.187285945548392,-0.30579371096037,-0.0703573119555976,-0.30579371096037,-0.0703573119555976,-0.187285945548392,26,25,25,26,28,22
"ld0011",6,"ld0011_6","ld0011_6_c_co2_samp_1","c_co2_samp_1",NA,-4.137549516,-4.129819117,-5.506902308,-3.968156057,-3.552508441,-0.468949084586294,-0.344365973145625,-0.344365973145625,-0.468949084586294,-0.367590977046391,-0.367590977046391,24,28,24,22,24,32
"ld0011",6,"ld0011_6","ld0011_6_c_co2_samp_2","c_co2_samp_2",NA,-3.933802684,-3.927109074,NA,-3.738995878,-3.475580309,-0.468949084586294,-0.344365973145625,-0.344365973145625,-0.468949084586294,-0.367590977046391,-0.367590977046391,24,28,24,22,24,32
"ld0011",7,"ld0011_7","ld0011_7_c_co2_samp_1","c_co2_samp_1",NA,-4.348873989,-4.291490792,-4.542442642,-3.657590674,-4.178735768,-0.853675927020666,-0.524015359978078,-0.51612756122847,-0.51612756122847,-0.853675927020666,-0.524015359978078,26,30,25.5,28,22,25
"ld0011",7,"ld0011_7","ld0011_7_c_co2_samp_2","c_co2_samp_2",NA,-4.227582572,-4.330237899,-4.428497785,-3.59755163,-4.021058034,-0.853675927020666,-0.524015359978078,-0.51612756122847,-0.51612756122847,-0.853675927020666,-0.524015359978078,26,30,25.5,28,22,25
"ld0011",8,"ld0011_8","ld0011_8_c_co2_samp_1","c_co2_samp_1",NA,-3.989223015,-3.41075335,-4.138936684,-3.378495274,-3.583268279,-0.772121664194818,-0.383108532846206,-0.383108532846206,-0.812804052861075,-0.772121664194818,-0.812804052861075,21.5,23,26,25.5,22,24
"ld0011",8,"ld0011_8","ld0011_8_c_co2_samp_2","c_co2_samp_2",NA,-3.943224743,-3.56185428,-4.239958342,-3.368231679,-3.580696382,-0.772121664194818,-0.383108532846206,-0.383108532846206,-0.812804052861075,-0.772121664194818,-0.812804052861075,21.5,23,26,25.5,22,24
