"id","site","samp_period","series","obs","date","batch","ch_num","incb_num","incb_temp_id","incb_temp","prior_temp_1","prior_temp_2","prior_temp_3","prior_temp_4","body_temp","co2_samp_control","co2_samp_1","co2_samp_2","defecate","air_collect_notes","fms_notes","co2_warthog_notes","co2_samp_1_correct","co2_samp_2_correct","frac_co2","lizmass","total_air","total_co2","co2_pmin","z.incb_temp","z.body_temp","log.mass","z.log.mass","log.co2pmin","z.log.co2pmin","z.prior_temp_1","z.prior_temp_2","z.log.prior_temp_1","z.prior_temp_3","z.prior_temp_4","z.log.prior_temp_2","z.log.prior_temp_3","z.log.prior_temp_4","z.log.temp"
"ld0051","SP",1,"ld0051_1",631,"27/12/2016",1,1,1,2,24,32,24,32,25,27,0.00154,0.00597,0.00566,NA,"","","",0.00443,0.00412,0.00443,1.336,144.994,0.64232342,0.007136927,-0.88515871,1.607534008,0.289680075,1.078393263,-4.942472987,0.435605724,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0042","UNSWKen",1,"ld0042_1",442,"27/12/2016",1,2,1,2,24,32,24,32,25,28,0.000885,0.00745,0.00737,NA,"","","BadO2S1",0.006565,0.006485,0.006565,1.433,144.897,0.951248805,0.010569431,-0.88515871,2.20640794,0.359770149,1.691111876,-4.549789312,1.162691698,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0170","UNSWKen",1,"ld0170_1",2398,"27/12/2016",1,3,1,2,24,32,24,32,25,28.5,0.000829,0.0033,0.00319,NA,"","","",0.002471,0.002361,0.002471,1.116,145.214,0.358823794,0.003986931,-0.88515871,2.505844906,0.109750864,-0.49452528,-5.524733517,-0.642497317,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0133","MP",1,"ld0133_1",1725,"27/12/2016",1,4,1,2,24,32,24,32,25,23.5,0.000715,0.00365,0.00346,NA,"","","",0.002935,0.002745,0.002935,1.112,145.218,0.42621483,0.00473572,-0.88515871,-0.488524755,0.106160196,-0.525914449,-5.352621505,-0.323817835,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0146","UNSWKen",1,"ld0146_1",2116,"27/12/2016",1,5,1,2,24,32,24,32,25,29,0.000684,0.00394,0.00234,NA,"","","",0.003256,0.001656,0.003256,1.237,145.093,0.472422808,0.005249142,-0.88515871,2.805281872,0.212689093,0.40534778,-5.249690644,-0.13323292,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0020","UNSWKen",1,"ld0020_1",344,"27/12/2016",1,6,1,2,24,32,24,32,25,28,0.000779,0.00447,0.0043,NA,"","","",0.003691,0.003521,0.003691,1.228,145.102,0.535571482,0.005885401,-0.88515871,2.20640794,0.20538683,0.341512309,-5.135280401,0.078607012,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0154","Maroubra",1,"ld0154_1",2279,"27/12/2016",1,7,1,2,24,32,24,32,25,27,0.000529,0.00379,0.00362,NA,"","","",0.003261,0.003091,0.003261,1.229,145.101,0.473174361,0.005199718,-0.88515871,1.607534008,0.206200831,0.348628202,-5.259150886,-0.150749331,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0118","SP",1,"ld0118_1",1561,"27/12/2016",1,8,1,2,24,32,24,32,25,29,0.000339,0.0122633,0.0122387,NA,"Shedding","","",0.0119243,0.0118997,0.0119243,1.446,144.884,1.727640281,0.018985058,-0.88515871,2.805281872,0.368801124,1.770059523,-3.96410303,2.2471378,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0150","UNSWKen",1,"ld0150_1",2133,"27/12/2016",1,9,1,2,24,32,24,32,25,29.5,NA,0.0026,0.00216,NA,"","","MultiPCO2BLS2",0.0026,0.00216,0.0026,1.36,144.97,0.376922,0.004142,-0.88515871,3.104718838,0.3074847,1.234039053,-5.486576516,-0.571846506,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
"ld0140","MP",1,"ld0140_1",1895,"27/12/2016",1,10,1,2,24,32,24,32,25,27,0.000537,0.00411,0.00367,NA,"","","",0.003573,0.003133,0.003573,1.119,145.211,0.518838903,0.005701526,-0.88515871,1.607534008,0.112435429,-0.471057147,-5.167021421,0.019835916,1.49679255311812,-0.584842691166151,1.4237018453106,2.15125346087821,-0.445166719585535,-0.564567618662351,2.04142307264925,-0.411342771589956,-0.857361468011035
