"id","date","samp_period","series","batch","incb_temp","log.temp","log.prior_temp","orig_lizmass","log.mass","z.log.mass","orig_co2_pmin","log.co2pmin","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0006","18/1/2017",5,"ld0006_5",2,32,3.46573590279973,3.25809653802148,1.086,0.0825012215117438,-0.720828873275605,0.004837742,-5.33130719603769,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0043","18/1/2017",5,"ld0043_5",2,32,3.46573590279973,3.25809653802148,1.072,0.0695260626486103,-0.833423291814153,0.002427884,-6.02073518287347,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0076","18/1/2017",5,"ld0076_5",2,32,3.46573590279973,3.25809653802148,1.307,0.267734434642085,0.886567702476291,0.003741593,-5.58824382241173,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0092","18/1/2017",5,"ld0092_5",2,32,3.46573590279973,3.25809653802148,1.39,0.3293037471426,1.42084716787156,0.009326084,-4.67494007355958,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0107","18/1/2017",5,"ld0107_5",2,32,3.46573590279973,3.25809653802148,1.249,0.222343231143441,0.492676867026398,0.004136421,-5.4879243577879,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0111","18/1/2017",5,"ld0111_5",2,32,3.46573590279973,3.25809653802148,1.094,0.0898407039997895,-0.657139112569601,0.003356388,-5.69688988323396,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0115","18/1/2017",5,"ld0115_5",2,32,3.46573590279973,3.25809653802148,1.277,0.244513577050402,0.685064276885822,0.00584197,-5.14268721025744,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0119","18/1/2017",5,"ld0119_5",2,32,3.46573590279973,3.25809653802148,1.211,0.191446464570955,0.224564275601055,0.003113609,-5.77197277543206,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0153","18/1/2017",5,"ld0153_5",2,32,3.46573590279973,3.25809653802148,0.96,-0.0408219945202552,-1.79098962798357,0.004033618,-5.5130915390257,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0006","28/1/2017",6,"ld0006_6",2,28,3.3322045101752,3.15700042115011,1.076,0.0732504617395927,-0.801104107557677,0.00120238,-6.72345235306371,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0013","28/1/2017",6,"ld0013_6",2,28,3.3322045101752,3.13549421592915,1.064,0.0620353909194527,-0.898425026028292,0.004741099,-5.35148631360964,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0043","28/1/2017",6,"ld0043_6",2,28,3.3322045101752,3.15700042115011,1.126,0.118671529717499,-0.406954117386605,0.00470945,-5.35818415059607,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0069","28/1/2017",6,"ld0069_6",2,28,3.3322045101752,3.19867311755068,1.364,0.31042155942127,1.25699337851569,0.014147566,-4.25821268382329,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0076","28/1/2017",6,"ld0076_6",2,28,3.3322045101752,3.15700042115011,1.324,0.280657457514817,0.998709701003173,0.004557331,-5.39101813383241,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0077","28/1/2017",6,"ld0077_6",2,28,3.3322045101752,3.19867311755068,1.352,0.301584977620772,1.18031225266664,0.00425591,-5.45944667378293,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0104","28/1/2017",6,"ld0104_6",2,28,3.3322045101752,3.15700042115011,1.321,0.278389025540188,0.979024949404237,0.013013841,-4.34174179559578,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0119","28/1/2017",6,"ld0119_6",2,28,3.3322045101752,3.15700042115011,1.256,0.227932068046007,0.54117506639251,0.010451776,-4.56098336285844,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0138","28/1/2017",6,"ld0138_6",2,28,3.3322045101752,3.19867311755068,1.106,0.100749903100143,-0.562472454351212,0.004813138,-5.33640601672648,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0171","28/1/2017",6,"ld0171_6",2,28,3.3322045101752,3.19867311755068,1.224,0.202124184090134,0.317222225554611,0.004744966,-5.35067101238322,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
