period,batch,chamber,id,tc,incubator,encl_id
3,2,20,ld0115,tc0244,2,e041
3,2,21,ld0143,tc0333,2,e046
4,1,1,ld0049,tc01(12)0,1,e033
4,1,2,ld0088,tc0203,1,e041
4,1,3,ld0142,tc0331,1,e007
4,1,4,ld0118,tc0251,1,e042
4,1,5,ld0011,tc0015,1,e029
4,1,6,ld0089,tc0204,1,e023
4,1,7,ld0042,tc0103,1,e022
4,1,8,ld0150,tc0344,1,e017
4,1,9,ld0095,tc0214,1,e043
4,1,10,ld0018,tc0A30,1,e011
4,1,11,ld0105,tc0230,2,e048
4,1,12,ld0140,tc0325,2,e021
4,1,13,ld0146,tc0340,2,e013
4,1,14,ld0154,tc02(A)0,2,e040
4,1,15,ld0170,tc0415,2,e052
4,1,16,ld0155,tc1342,2,e008
4,1,17,ld0002,tc0002,2,e005
4,1,18,ld0133,tc0314,2,e015
4,1,19,ld0027,tc0043,2,e038
4,1,20,ld0020,tc0032,2,e014
4,1,21,ld0051,tc0140,2,e003
4,2,1,ld0119,tc0252,1,e018
4,2,2,ld0043,tc0104,1,e028
4,2,3,ld0077,tc0151,1,e032
4,2,4,ld0069,tc0142,1,e024
4,2,5,ld0171,tc0311,1,e053
4,2,6,ld0013,tc0021,1,e044
4,2,7,ld0076,tc0150,1,e025
4,2,8,ld0115,tc0244,1,e041
4,2,9,ld0143,tc0333,1,e046
4,2,10,ld0092,tc0212,1,e009
4,2,11,ld0153,tc0350,2,e049
4,2,12,ld0128,tc0305,2,e034
4,2,13,ld0175,tc0234,2,e013
4,2,14,ld0065,tc0134,2,e036
4,2,15,ld0075,tc0145,2,e002
4,2,16,ld0111,tc0242,2,e026
4,2,17,ld0006,tc0010,2,e031
4,2,18,ld0137,tc0322,2,e001
4,2,19,ld0107,tc0232,2,e045
4,2,20,ld0104,tc0225,2,e027
4,2,21,ld0138,tc0323,2,e020
5,1,1,ld0089,tc0204,1,e023
5,1,2,ld0105,tc0230,1,e048
5,1,3,ld0146,tc0340,1,e013
5,1,4,ld0020,tc0032,1,e014
5,1,5,ld0142,tc0331,1,e007
5,1,6,ld0095,tc0214,1,e043
5,1,7,ld0150,tc0344,1,e017
5,1,8,ld0051,tc0140,1,e003
5,1,9,ld0027,tc0043,1,e038
5,1,10,ld0002,tc0002,1,e005
5,1,11,ld0140,tc0325,2,e021
5,1,12,ld0170,tc0415,2,e052
5,1,13,ld0042,tc0103,2,e022
5,1,14,ld0133,tc0314,2,e015
5,1,15,ld0154,tc02(A)0,2,e040
5,1,16,ld0155,tc1342,2,e008
5,1,17,ld0011,tc0015,2,e029
5,1,18,ld0018,tc0A30,2,e011
5,1,19,ld0088,tc0203,2,e041
5,1,20,ld0118,tc0251,2,e042
5,1,21,ld0049,tc01(12)0,2,e033
5,2,1,ld0107,tc0232,1,e045
5,2,2,ld0076,tc0150,1,e025
5,2,3,ld0006,tc0010,1,e031
5,2,4,ld0092,tc0212,1,e009
5,2,5,ld0111,tc0242,1,e026
5,2,6,ld0119,tc0252,1,e018
5,2,7,ld0115,tc0244,1,e041
5,2,8,ld0043,tc0104,1,e028
5,2,9,ld0013,tc0021,1,e044
5,2,10,ld0153,tc0350,1,e049
5,2,11,ld0069,tc0142,2,e024
5,2,12,ld0077,tc0151,2,e032
5,2,13,ld0075,tc0145,2,e002
5,2,14,ld0138,tc0323,2,e020
5,2,15,ld0065,tc0134,2,e036
5,2,16,ld0128,tc0305,2,e034
5,2,17,ld0171,tc0311,2,e053
5,2,18,ld0175,tc0234,2,e013
5,2,19,ld0137,tc0322,2,e001
5,2,20,ld0104,tc0225,2,e027
5,2,21,ld0143,tc0333,2,e046
6,1,1,ld0142,tc0331,1,e007
6,1,2,ld0049,tc01(12)0,1,e033
6,1,3,ld0170,tc0415,1,e052
6,1,4,ld0133,tc0314,1,e015
6,1,5,ld0018,tc0A30,1,e011
6,1,6,ld0088,tc0203,1,e041
6,1,7,ld0154,tc02(A)0,1,e040
6,1,8,ld0095,tc0214,1,e043
6,1,9,ld0150,tc0344,1,e017
6,1,10,ld0042,tc0103,1,e022
6,1,11,ld0051,tc0140,2,e003
6,1,12,ld0155,tc1342,2,e008
6,1,13,ld0011,tc0015,2,e029
6,1,14,ld0140,tc0325,2,e021
6,1,15,ld0002,tc0002,2,e005
6,1,16,ld0146,tc0340,2,e013
6,1,17,ld0105,tc0230,2,e048
6,1,18,ld0027,tc0043,2,e038
6,1,19,ld0089,tc0204,2,e023
6,1,20,ld0020,tc0032,2,e014
6,1,21,ld0118,tc0251,2,e042
6,2,1,ld0006,tc0010,1,e031
6,2,2,ld0171,tc0311,1,e053
6,2,3,ld0043,tc0104,1,e028
6,2,4,ld0119,tc0252,1,e018
6,2,5,ld0069,tc0142,1,e024
6,2,6,ld0077,tc0151,1,e032
6,2,7,ld0104,tc0225,1,e027
6,2,8,ld0138,tc0323,1,e020
6,2,9,ld0076,tc0150,1,e025
6,2,10,ld0013,tc0021,1,e044
6,2,11,ld0175,tc0234,2,e013
6,2,12,ld0115,tc0244,2,e041
6,2,13,ld0153,tc0350,2,e049
6,2,14,ld0128,tc0305,2,e034
6,2,15,ld0143,tc0333,2,e046
6,2,16,ld0065,tc0134,2,e036
6,2,17,ld0137,tc0322,2,e001
6,2,18,ld0075,tc0145,2,e002
6,2,19,ld0107,tc0232,2,e045
6,2,20,ld0111,tc0242,2,e026
6,2,21,ld0092,tc0212,2,e009
7,1,1,ld0095,tc0214,1,e043
7,1,2,ld0042,tc0103,1,e022
7,1,3,ld0150,tc0344,1,e017
7,1,4,ld0154,tc02(A)0,1,e040
7,1,5,ld0105,tc0230,1,e048
7,1,6,ld0088,tc0203,1,e041
7,1,7,ld0140,tc0325,1,e021
7,1,8,ld0018,tc0A30,1,e011
7,1,9,ld0170,tc0415,1,e052
7,1,10,ld0155,tc1342,1,e008
7,1,11,ld0011,tc0015,2,e029
7,1,12,ld0133,tc0314,2,e015
7,1,13,ld0089,tc0204,2,e023
7,1,14,ld0027,tc0043,2,e038
7,1,15,ld0002,tc0002,2,e005
7,1,16,ld0146,tc0340,2,e013
7,1,17,ld0020,tc0032,2,e014
7,1,18,ld0142,tc0331,2,e007
7,1,19,ld0049,tc01(12)0,2,e033
7,1,20,ld0051,tc0140,2,e003
7,1,21,ld0118,tc0251,2,e042
7,2,1,ld0143,tc0333,1,e046
7,2,2,ld0043,tc0104,1,e028
7,2,3,ld0111,tc0242,1,e026
7,2,4,ld0128,tc0305,1,e034
7,2,5,ld0075,tc0145,1,e002
7,2,6,ld0137,tc0322,1,e001
