series,id,samp_period,Intercept,inverseK_incb_temp,z.log.mass,inverseK_prior_temp2
ld0092_9,ld0092,9,0.111029072,1.332793896,0.354044931,0.051851362
ld0095_1,ld0095,1,0.157409103,1.219481638,0.354044931,0.051851362
ld0095_10,ld0095,10,0.150317942,1.307629885,0.354044931,0.051851362
ld0095_2,ld0095,2,-0.237631154,1.522475349,0.354044931,0.051851362
ld0095_3,ld0095,3,-0.202920194,1.513613208,0.354044931,0.051851362
ld0095_4,ld0095,4,-0.407755026,1.69396246,0.354044931,0.051851362
ld0095_5,ld0095,5,-0.161825324,1.497360737,0.354044931,0.051851362
ld0095_6,ld0095,6,-0.336225163,1.665044823,0.354044931,0.051851362
ld0095_7,ld0095,7,-0.142364188,1.348365463,0.354044931,0.051851362
ld0095_8,ld0095,8,0.372894653,1.230474299,0.354044931,0.051851362
ld0095_9,ld0095,9,0.645817212,1.008796204,0.354044931,0.051851362
ld0104_1,ld0104,1,0.146619097,1.219846397,0.354044931,0.051851362
ld0104_10,ld0104,10,0.025766737,1.500767983,0.354044931,0.051851362
ld0104_2,ld0104,2,-0.206890333,1.460671395,0.354044931,0.051851362
ld0104_3,ld0104,3,-0.034662279,1.407304226,0.354044931,0.051851362
ld0104_4,ld0104,4,0.309892616,1.224466526,0.354044931,0.051851362
ld0104_5,ld0104,5,-0.339891506,1.726222821,0.354044931,0.051851362
ld0104_6,ld0104,6,-0.067500829,1.489256325,0.354044931,0.051851362
ld0104_7,ld0104,7,-0.205567175,1.533721334,0.354044931,0.051851362
ld0104_8,ld0104,8,0.161688209,1.300969922,0.354044931,0.051851362
ld0104_9,ld0104,9,0.089840584,1.297326463,0.354044931,0.051851362
ld0105_1,ld0105,1,-0.005862784,1.343867083,0.354044931,0.051851362
ld0105_10,ld0105,10,0.049846083,1.400125089,0.354044931,0.051851362
ld0105_2,ld0105,2,-0.029113349,1.290182818,0.354044931,0.051851362
ld0105_3,ld0105,3,0.158812783,1.291113815,0.354044931,0.051851362
ld0105_4,ld0105,4,0.201977795,1.274319428,0.354044931,0.051851362
ld0105_5,ld0105,5,-0.027606178,1.449615607,0.354044931,0.051851362
ld0105_6,ld0105,6,-0.235688081,1.523373924,0.354044931,0.051851362
ld0105_7,ld0105,7,-0.204733252,1.581982696,0.354044931,0.051851362
ld0105_8,ld0105,8,0.171795807,1.437319551,0.354044931,0.051851362
ld0105_9,ld0105,9,-0.199297169,1.545465727,0.354044931,0.051851362
ld0107_1,ld0107,1,-0.111668804,1.422197333,0.354044931,0.051851362
ld0107_10,ld0107,10,0.289348711,1.326376944,0.354044931,0.051851362
ld0107_2,ld0107,2,-0.14504102,1.59663313,0.354044931,0.051851362
ld0107_3,ld0107,3,0.197379854,1.139419494,0.354044931,0.051851362
ld0107_4,ld0107,4,-0.319405755,1.558713334,0.354044931,0.051851362
ld0107_5,ld0107,5,-0.252673068,1.474081448,0.354044931,0.051851362
ld0107_6,ld0107,6,-0.025705257,1.387208195,0.354044931,0.051851362
ld0107_7,ld0107,7,-0.196924054,1.531944908,0.354044931,0.051851362
ld0107_8,ld0107,8,0.060371379,1.396372394,0.354044931,0.051851362
ld0107_9,ld0107,9,0.199995372,1.304762181,0.354044931,0.051851362
ld0111_1,ld0111,1,0.025672243,1.348461694,0.354044931,0.051851362
ld0111_10,ld0111,10,-0.147762588,1.513675555,0.354044931,0.051851362
ld0111_2,ld0111,2,0.134654395,1.459791312,0.354044931,0.051851362
ld0111_3,ld0111,3,0.3345494,1.221689631,0.354044931,0.051851362
ld0111_4,ld0111,4,0.203481833,1.159275124,0.354044931,0.051851362
ld0111_5,ld0111,5,-0.191256305,1.357514263,0.354044931,0.051851362
ld0111_6,ld0111,6,0.120762489,1.451172036,0.354044931,0.051851362
